Condition Difference,PPSR
0.252701517,2
0.105767327,2
-0.237151006,1
-0.155276577,3
-0.398522022,3
0.033666061,3
0.400034102,3
0.196623932,1
-0.216319415,1
-0.01729535,3
0.035265621,2
-0.25865453,2
0.1756665,4
0.041269263,4
-0.2272286,1
0.401179017,4
-0.069368188,1
-0.200115696,3
-0.32873148,2
-0.169764088,1
0.302400879,5
-0.183348539,3
0.056870365,4
-0.018495565,1
0.124545789,4
0.088797247,3
0.131452082,2
0.111568455,3
-0.031423616,3
0.080329177,1
0.435680848,1
-0.125990215,2
-0.423142544,1
0.06975189,3
-0.034864428,2
0.031373854,3
0.219878861,3
-0.23867281,2
0.01200706,1
0.001020893,5
0.059977321,3
-0.210930051,2
-0.047154449,1
-0.385071428,1
0.034876475,3
-0.151871601,1
0.159328144,2
-0.007979987,2
-0.321561504,2
-0.075967888,3
0.208571024,2
0.229544365,2
-0.172240509,3
0.250756586,4
0.100550715,2
0.35669031,3
-0.026403655,2
0.196722878,3
0.060715627,3
-0.073094316,3
-0.087492186,2
-0.393877467,2
-0.305488572,3
-0.07663861,1
0.010516411,2
0.030879138,3
-0.172702188,2
-0.34831183,3
-0.053279398,2
-0.034815145,4
-0.150654178,5
-0.130444858,3
-0.180307316,3
0.344875815,3
-0.351802182,3
-0.276157175,3
0.022830666,3
-0.104233517,1
-0.283080893,3
0.193428417,2
0.333493292,3
-0.120441752,2
-0.04448535,3
0.104114363,2
0.175926371,3
0.020977082,3
-0.223886149,1
0.277112895,3
-0.174769696,1
-0.031313209,2
0.100169465,1
-0.362076474,3
-0.053876428,2
-0.294986287,2
0.018388472,3
-0.144081799,1
0.076712344,3
-0.27413157,2
0.001589117,2
0.099735245,2
-0.225105113,5
-0.063727474,2
-0.108075708,2
0.01738767,2
0.034625451,3
0.021110327,2
-0.121941761,4
-0.065635458,1
-0.100405006,2
0.074939555,2
